Project ID,Project Name,Project Type,Location,Start Date,End Date,Project Status,Priority,Task ID,Task Name,Task Status,Assigned To,Hours Spent,Budget,Actual Cost,Progress,Duplicate Task ID(within project),tokens,w2v_0,w2v_1,w2v_2,w2v_3,w2v_4,w2v_5,w2v_6,w2v_7,w2v_8,w2v_9,w2v_10,w2v_11,w2v_12,w2v_13,w2v_14,w2v_15,w2v_16,w2v_17,w2v_18,w2v_19,w2v_20,w2v_21,w2v_22,w2v_23,w2v_24,w2v_25,w2v_26,w2v_27,w2v_28,w2v_29,w2v_30,w2v_31,w2v_32,w2v_33,w2v_34,w2v_35,w2v_36,w2v_37,w2v_38,w2v_39,w2v_40,w2v_41,w2v_42,w2v_43,w2v_44,w2v_45,w2v_46,w2v_47,w2v_48,w2v_49,w2v_50,w2v_51,w2v_52,w2v_53,w2v_54,w2v_55,w2v_56,w2v_57,w2v_58,w2v_59,w2v_60,w2v_61,w2v_62,w2v_63,w2v_64,w2v_65,w2v_66,w2v_67,w2v_68,w2v_69,w2v_70,w2v_71,w2v_72,w2v_73,w2v_74,w2v_75,w2v_76,w2v_77,w2v_78,w2v_79,w2v_80,w2v_81,w2v_82,w2v_83,w2v_84,w2v_85,w2v_86,w2v_87,w2v_88,w2v_89,w2v_90,w2v_91,w2v_92,w2v_93,w2v_94,w2v_95,w2v_96,w2v_97,w2v_98,w2v_99
P001,Renovation of a School Project 001,Renovation,Texas,21-07-2024 00:00,08-08-2024 00:00,Behind,Medium,T001,Task 001 of Renovation of a School Project 001,In Progress,Bob,12,9621,0,0.24,False,"['Task', '001', 'of', 'Renovation', 'of', 'a', 'School', 'Project', '001']",-0.0022009292,0.00800417,0.004798828,0.018965818,-0.002831856,-0.028790329,0.035330888,0.06266126,-0.034911472,-0.043314118,0.00092299626,-0.035965495,0.0036543773,0.02958893,0.0073803943,-0.0015323369,0.031007191,0.0030792882,-0.019338645,-0.06813714,0.017733747,0.007378479,0.02775241,-0.02040104,0.004933694,0.0050310763,-0.015138189,0.011253204,-0.024764508,0.011344167,0.037740078,-0.018153781,0.010435719,-0.053812824,-0.019637952,0.024912633,0.023793343,-0.0034122746,-0.016572936,-0.01184066,0.012369143,-0.019202407,-0.019360982,0.010101473,0.028026696,-0.016979568,-0.025108863,-0.011985231,0.017927518,0.016498476,0.010567838,-0.020565258,-0.011681219,-0.006543215,-0.014161203,0.0013653027,0.016544992,-0.009582986,-0.019238109,0.0054810974,0.0007573316,-0.015208248,0.039771885,0.008651634,-0.025796965,0.052181356,0.0064366604,0.02879904,-0.038368743,0.01836329,0.00032768174,0.03080354,0.026096933,0.0012543048,0.031285312,0.0046659345,0.018380353,0.02003514,-0.012848538,-0.0073889624,-0.0325896,-0.009348634,-0.010883933,0.026188714,-0.012791399,-0.01769339,0.03134832,0.00346188,0.015478756,0.012135767,0.0225362,0.018404298,0.01701839,-0.006002331,0.055252142,0.010581349,0.0149167515,-0.010559242,0.014326329,0.008420464
P001,Renovation of a School Project 001,Renovation,New Jersey,21-07-2024 00:00,12-08-2024 00:00,Behind,High,T002,Task 002 of Renovation of a School Project 001,In Progress,Charlie,4,7814,0,0.56,False,"['Task', '002', 'of', 'Renovation', 'of', 'a', 'School', 'Project', '001']",-0.0021881233,0.008880591,0.0049557765,0.02011519,-0.0012682828,-0.02949819,0.035645768,0.06396356,-0.034010258,-0.04404326,0.0025179544,-0.03575021,0.0049574454,0.030459106,0.008733286,-0.0008384792,0.033089496,0.003134309,-0.02021216,-0.06819459,0.01925386,0.0073230434,0.028236091,-0.020482233,0.0047465623,0.0058006328,-0.015006502,0.013001265,-0.025053207,0.010763199,0.03776713,-0.017803658,0.010305865,-0.053900212,-0.019501174,0.025134064,0.024557978,-0.0046842694,-0.018485248,-0.010526041,0.011857831,-0.018107055,-0.018118888,0.010166291,0.02931451,-0.016583592,-0.025047164,-0.013270136,0.017907055,0.016656576,0.01092367,-0.019870676,-0.013821767,-0.008672917,-0.013971795,0.0010925265,0.015850104,-0.007815424,-0.018063841,0.00594422,-0.00015328349,-0.014777013,0.040236067,0.009615214,-0.026164755,0.05196394,0.0063760174,0.029868947,-0.03834772,0.01867,0.0006986742,0.030151539,0.025469871,0.0017029281,0.031575862,0.0032352447,0.019140681,0.020740995,-0.013682869,-0.0076858476,-0.03450094,-0.008046992,-0.011203058,0.027988622,-0.013082061,-0.01728151,0.03337386,0.0030371025,0.015681319,0.010910013,0.02101048,0.017561663,0.018154876,-0.0060200333,0.0560604,0.010086737,0.016004266,-0.010528434,0.01393117,0.008704131
P001,Renovation of a School Project 001,Renovation,Ohio,21-07-2024 00:00,10-08-2024 00:00,Behind,High,T003,Task 003 of Renovation of a School Project 001,Completed,Charlie,5,1028,1011,1.0,False,"['Task', '003', 'of', 'Renovation', 'of', 'a', 'School', 'Project', '001']",-0.0020321102,0.008010452,0.0041825436,0.020131936,-0.0013712773,-0.028516332,0.03559191,0.06360564,-0.035238393,-0.042557187,0.0007852917,-0.035821732,0.0036083783,0.03145568,0.0072358306,-0.0010377945,0.03182961,0.0043887524,-0.018707868,-0.069654614,0.019192122,0.006656182,0.02809712,-0.020566903,0.005510053,0.0056564896,-0.015681969,0.013173318,-0.026261404,0.010828615,0.038538117,-0.017184235,0.0112445615,-0.054818105,-0.019004421,0.02354359,0.023246624,-0.0036586593,-0.01754093,-0.011530755,0.011687911,-0.019462632,-0.01993898,0.011488252,0.029225724,-0.017717699,-0.025071431,-0.01299651,0.018843152,0.016191471,0.010920851,-0.019469844,-0.011657771,-0.0081007,-0.013391128,0.0003205043,0.014582683,-0.009848917,-0.018798687,0.005731356,0.00035724364,-0.016048541,0.03974658,0.0098642055,-0.027038258,0.052638642,0.0075893635,0.03004844,-0.038682893,0.020790974,-0.00057586934,0.031297646,0.025319943,0.00092873233,0.032233473,0.0045224777,0.01946356,0.021000413,-0.012240645,-0.009052221,-0.034911174,-0.009544036,-0.0113756135,0.027467016,-0.013666233,-0.017895935,0.033385616,0.002737915,0.014923298,0.011444765,0.022258949,0.017190825,0.018850628,-0.006164329,0.05541424,0.0092103435,0.016025966,-0.009202149,0.014357544,0.009701124
P002,Innovation of a Classroom Project 002,Innovation,Pennsylvania,04-06-2024 00:00,12-07-2025 00:00,On Track,High,T001,Task 001 of Innovation of a Classroom Project 002,Pending,Charlie,24,1530,0,0.33,False,"['Task', '001', 'of', 'Innovation', 'of', 'a', 'Classroom', 'Project', '002']",-0.003919639,0.009497175,0.0030250798,0.019036148,0.00063394895,-0.028727792,0.036146402,0.062131755,-0.0337237,-0.04066642,0.0022495284,-0.035010364,0.004367582,0.029973805,0.0067565683,-0.0014330923,0.033845894,0.0011359914,-0.019051842,-0.06572372,0.019041354,0.0067170793,0.029584676,-0.020199455,0.0042054565,0.0039169765,-0.016135268,0.012788605,-0.023586487,0.010853716,0.039062064,-0.017308062,0.009741591,-0.051948715,-0.019443743,0.024298228,0.023204092,-0.0041244347,-0.016538367,-0.0113724405,0.010208312,-0.017880687,-0.017971935,0.008040979,0.02723792,-0.014520716,-0.023173638,-0.012796079,0.017241113,0.01621064,0.011083711,-0.019315945,-0.014139437,-0.007826548,-0.012403805,5.6919507e-05,0.01712906,-0.007963023,-0.01807574,0.005160172,-0.001687568,-0.016542386,0.039507713,0.008526978,-0.026244596,0.0493523,0.007196846,0.028378733,-0.038988408,0.019565878,6.122734e-05,0.029490829,0.025745485,0.0010179263,0.029720508,-0.00019621257,0.017407043,0.02040382,-0.013570576,-0.0066961492,-0.03293933,-0.0073590344,-0.009225598,0.02850123,-0.011307344,-0.019367982,0.030672,0.0030800048,0.015943313,0.010341601,0.022121968,0.016707325,0.018735237,-0.009552231,0.054002903,0.009945666,0.016648881,-0.008842716,0.013868039,0.009020463
P002,Innovation of a Classroom Project 002,Innovation,New York,04-06-2024 00:00,26-06-2025 00:00,On Track,Medium,T002,Task 002 of Innovation of a Classroom Project 002,Pending,Charlie,26,7201,0,0.32,False,"['Task', '002', 'of', 'Innovation', 'of', 'a', 'Classroom', 'Project', '002']",-0.003906833,0.010373595,0.0031820275,0.02018552,0.0021975222,-0.029435655,0.03646128,0.06343406,-0.032822482,-0.04139556,0.0038444863,-0.03479508,0.0056706504,0.03084398,0.008109459,-0.0007392345,0.0359282,0.001191012,-0.019925358,-0.06578117,0.020561464,0.0066616437,0.030068358,-0.020280648,0.0040183254,0.0046865325,-0.016003583,0.014536668,-0.023875184,0.010272746,0.03908911,-0.016957937,0.009611737,-0.052036103,-0.019306965,0.02451966,0.023968723,-0.0053964304,-0.01845068,-0.01005782,0.009696999,-0.016785333,-0.016729841,0.008105796,0.028525736,-0.01412474,-0.023111941,-0.014080983,0.017220652,0.01636874,0.011439542,-0.018621363,-0.016279986,-0.009956251,-0.012214397,-0.0002158568,0.01643417,-0.0061954614,-0.01690147,0.005623294,-0.0025981832,-0.016111152,0.039971888,0.009490558,-0.026612386,0.049134877,0.0071362024,0.029448636,-0.038967393,0.019872587,0.00043221973,0.028838826,0.025118422,0.0014665495,0.030011058,-0.0016269018,0.018167369,0.021109672,-0.014404908,-0.006993035,-0.034850672,-0.0060573933,-0.009544722,0.030301133,-0.011598007,-0.018956102,0.032697532,0.0026552277,0.016145876,0.009115847,0.020596245,0.01586469,0.019871723,-0.009569933,0.05481116,0.009451054,0.017736398,-0.008811908,0.01347288,0.0093041295
P002,Innovation of a Classroom Project 002,Innovation,California,04-06-2024 00:00,25-03-2025 00:00,On Track,Low,T003,Task 003 of Innovation of a Classroom Project 002,In Progress,Alice,28,9814,0,0.29,False,"['Task', '003', 'of', 'Innovation', 'of', 'a', 'Classroom', 'Project', '002']",-0.0037508202,0.009503456,0.002408795,0.020202268,0.002094528,-0.028453797,0.036407422,0.06307613,-0.03405062,-0.039909482,0.0021118238,-0.034866605,0.0043215835,0.031840555,0.0066120047,-0.00093854987,0.034668315,0.0024454556,-0.018421065,-0.06724119,0.020499729,0.005994782,0.029929383,-0.02036532,0.004781816,0.00454239,-0.016679049,0.014708719,-0.025083384,0.010338162,0.039860096,-0.016338514,0.010550435,-0.052953996,-0.018810213,0.022929186,0.022657372,-0.0043708193,-0.017506361,-0.011062535,0.009527081,-0.01814091,-0.018549932,0.009427759,0.028436946,-0.015258847,-0.023136206,-0.013807358,0.018156748,0.015903635,0.011436723,-0.018220533,-0.014115989,-0.009384034,-0.011633732,-0.0009878789,0.015166751,-0.008228954,-0.01763632,0.0054104305,-0.0020876562,-0.01738268,0.039482407,0.00973955,-0.02748589,0.049809586,0.008349549,0.029628128,-0.039302565,0.02199356,-0.00084232376,0.029984938,0.024968496,0.0006923538,0.030668668,-0.00033966894,0.018490247,0.02136909,-0.012962681,-0.008359407,-0.0352609,-0.0075544375,-0.009717278,0.029779531,-0.01218218,-0.019570528,0.032709286,0.00235604,0.015387855,0.009650599,0.021844715,0.015493853,0.020567475,-0.009714229,0.054165,0.00857466,0.017758096,-0.0074856225,0.013899254,0.0103011215
P003,Construction of a Hospital Wing Project 003,Construction,Pennsylvania,20-07-2024 00:00,22-08-2024 00:00,Completed,Low,T001,Task 001 of Construction of a Hospital Wing Project 003,Completed,Grace,7,7981,7717,1.0,False,"['Task', '001', 'of', 'Construction', 'of', 'a', 'Hospital', 'Wing', 'Project', '003']",-0.0035227512,0.009553824,0.0042565507,0.017272962,-0.0014467045,-0.02838825,0.03495767,0.061832737,-0.034687646,-0.039995003,0.00015580645,-0.0336096,0.0034978506,0.029639712,0.0063510602,0.00038280262,0.030613413,0.0050064856,-0.018990101,-0.067302756,0.017073477,0.006277755,0.02671527,-0.020737268,0.005622874,0.0050427085,-0.015816148,0.009943065,-0.023127723,0.009087017,0.039462633,-0.015633214,0.010758576,-0.05103948,-0.017149856,0.023121413,0.02390258,-0.0048290454,-0.014901702,-0.013109928,0.0092689255,-0.018628884,-0.01628518,0.008906828,0.027541619,-0.017187329,-0.021799665,-0.01215394,0.016921349,0.0137032615,0.011110662,-0.017098624,-0.012763244,-0.0071446383,-0.010577025,-0.0010899445,0.014806767,-0.008708234,-0.01667733,0.00532618,0.00034079392,-0.016605962,0.039086636,0.010102741,-0.025217872,0.049521856,0.008106578,0.026777035,-0.039524514,0.021599242,-0.003531428,0.028532043,0.024809213,0.0016983368,0.030177241,0.0025649355,0.016244508,0.020378875,-0.012286658,-0.0072456114,-0.030621048,-0.008801008,-0.009728616,0.027674338,-0.011827689,-0.01715875,0.031256057,0.002625494,0.014083346,0.011874558,0.020771716,0.015613571,0.019958202,-0.00790757,0.053822298,0.008097075,0.015488101,-0.007082002,0.014936562,0.008888779
P003,Construction of a Hospital Wing Project 003,Construction,Virginia,20-07-2024 00:00,25-09-2024 00:00,Completed,Medium,T002,Task 002 of Construction of a Hospital Wing Project 003,Completed,Frank,23,1032,637,1.0,False,"['Task', '002', 'of', 'Construction', 'of', 'a', 'Hospital', 'Wing', 'Project', '003']",-0.0035112258,0.010342603,0.004397804,0.018307399,-3.9488146e-05,-0.029025326,0.03524106,0.06300481,-0.033876553,-0.040651232,0.0015912696,-0.033415843,0.0046706116,0.03042287,0.0075686625,0.0010072746,0.03248749,0.005056004,-0.019776266,-0.06735446,0.018441577,0.0062278616,0.027150583,-0.020810338,0.005454456,0.0057353093,-0.015697632,0.0115163205,-0.023387553,0.008564143,0.039486982,-0.015318101,0.010641707,-0.051118128,-0.017026756,0.023320701,0.024590751,-0.005973841,-0.016622784,-0.011926769,0.008808743,-0.017643066,-0.015167298,0.008965164,0.028700653,-0.01683095,-0.021744138,-0.013310355,0.016902931,0.013845551,0.01143091,-0.016473498,-0.014689738,-0.00906137,-0.010406559,-0.0013354432,0.014181366,-0.007117428,-0.015620488,0.0057429904,-0.0004787598,-0.016217852,0.039504394,0.010969964,-0.025548885,0.04932618,0.008052,0.027739951,-0.039505593,0.02187528,-0.0031975347,0.027945245,0.024244856,0.0021020975,0.030438736,0.001277315,0.016928803,0.021014143,-0.013037557,-0.007512808,-0.032341257,-0.007629531,-0.010015829,0.029294256,-0.012089284,-0.016788062,0.033079036,0.0022431945,0.014265652,0.010771378,0.019398568,0.014855199,0.02098104,-0.007923502,0.054549724,0.0076519237,0.016466867,-0.0070542744,0.0145809185,0.00914408
P003,Construction of a Hospital Wing Project 003,Construction,Ohio,20-07-2024 00:00,22-08-2024 00:00,Completed,Medium,T003,Task 003 of Construction of a Hospital Wing Project 003,Completed,Grace,13,8546,8502,1.0,False,"['Task', '003', 'of', 'Construction', 'of', 'a', 'Hospital', 'Wing', 'Project', '003']",-0.003370814,0.009559477,0.0037018943,0.018322472,-0.00013218343,-0.028141653,0.03519259,0.06268267,-0.034981873,-0.039313763,3.1872558e-05,-0.033480212,0.0034564517,0.03131979,0.006220953,0.0008278907,0.03135359,0.0061850036,-0.018422402,-0.068668485,0.018386014,0.005627686,0.027025506,-0.020886542,0.006141598,0.0056055808,-0.016305551,0.011671168,-0.02447493,0.008623018,0.04018087,-0.014760619,0.011486535,-0.051944233,-0.016579678,0.021889273,0.023410533,-0.0050507914,-0.015772898,-0.012831013,0.008655817,-0.018863084,-0.016805379,0.010154931,0.028620744,-0.017851647,-0.021765973,-0.013064091,0.01774542,0.013426957,0.011428374,-0.01611275,-0.012742141,-0.008546376,-0.00988396,-0.0020302632,0.01304069,-0.008947572,-0.016281852,0.0055514122,-1.9285199e-05,-0.017362226,0.039063863,0.011194056,-0.026335036,0.049933415,0.00914401,0.027901495,-0.039807253,0.023784157,-0.0043446245,0.028976738,0.024109922,0.0014053216,0.031030586,0.0024358246,0.017219393,0.02124762,-0.011739554,-0.008742543,-0.032710467,-0.00897687,-0.010171128,0.02882481,-0.01261504,-0.017341042,0.033089615,0.0019739256,0.013583434,0.011252655,0.020522188,0.014521445,0.021607215,-0.008053368,0.05396818,0.0068631694,0.016486395,-0.0058606174,0.014964655,0.010041373
P004,Road Expansion Project 004,Infrastructure,Pennsylvania,25-04-2024 00:00,06-05-2024 00:00,Completed,Medium,T001,Task 001 of Road Expansion Project 004,Completed,Frank,28,3728,3369,1.0,False,"['Task', '001', 'of', 'Road', 'Expansion', 'Project', '004']",-0.0056289635,0.0075093317,0.003477071,0.01893218,-0.001505492,-0.027563712,0.027838802,0.056291457,-0.03082529,-0.03972071,-0.00065235636,-0.034601197,0.003771316,0.026848624,0.0075948625,0.0018031535,0.026266398,0.00042722267,-0.014130912,-0.057781246,0.014758309,0.0057386244,0.021453287,-0.017117966,0.008205692,0.0063837394,-0.016474059,0.014092332,-0.020446097,0.008269419,0.03317144,-0.01466275,0.007902308,-0.045012396,-0.01685808,0.023508983,0.023886146,-0.0037227385,-0.014477163,-0.007816543,0.009425036,-0.0152142765,-0.01783927,0.007380647,0.02275172,-0.01462208,-0.020027947,-0.008902302,0.015827319,0.015095503,0.011459465,-0.015794475,-0.012446421,-0.0040610647,-0.010565315,-5.0190305e-05,0.014144574,-0.0092867585,-0.015430613,0.0046703853,-0.0012690751,-0.012188944,0.03658546,0.009894682,-0.022497904,0.043444972,0.007818029,0.02379488,-0.03251711,0.020130517,-6.199069e-05,0.026295526,0.022939265,1.7140394e-05,0.02664559,0.0045573236,0.0127973575,0.015560383,-0.0083457,-0.0049028555,-0.029253136,-0.006402668,-0.006508027,0.021641042,-0.010739529,-0.01700312,0.026177678,0.0026394147,0.016305372,0.010531573,0.019883195,0.018117895,0.017080327,-0.0050017075,0.0492799,0.0082761515,0.012018549,-0.006455238,0.012912534,0.009514889
